id,title,artist,score
1qXXsm5HOx6lssCY9Sct2E,Celestial Violence,Ihsahn,-0.6612598784513961
0zi6JoI0lSxdb9yboxWSZU,Filament - LIVE,Official HIGE DANdism,-0.6609832434610136
56nQ0EwaDX0X1TFGrDVC0b,Fever Dream,Palaye Royale,-0.6607428754305246
6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,-0.6604076293398613
6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,-0.6604076293398613
3sXpEwbsoFfneTtOLwrbyu,Traitors Gate,Primordial,-0.6598651870458354
5Re6Qmv5A7XuomapVBxxyf,Xenoforms,Aversions Crown,-0.6598591462229173
07eSFBlsPsdyi6GPofl6Y9,Deep Lake Trespass,Darkthrone,-0.6586451317646107
2PENGNC4Du8VO4eihW5EEf,Spell,Cadaveria,-0.6582677077244438
0zGnDcTwcR85dMKmhftA0C,Segura Na Minha Mão,Jefferson & Suellen,-0.6571867806935026
57QCT8L3kFQiN4AXkBRJxW,The Blazing Monoliths of Defiance,Dimmu Borgir,-0.6566887040985372
57QCT8L3kFQiN4AXkBRJxW,The Blazing Monoliths of Defiance,Dimmu Borgir,-0.6566887040985372
5SeoV5J7yTumQKLzpqSatA,Jeg vil ha det mørkere,Dold Vorde Ens Navn,-0.6564049241364969
4gjjo6scn1yHFfmpWZLtI0,London Is Lonely,Holly Humberstone,-0.6543606553538419
35w3g0LOtCMTOlzFYBtI52,London Is Lonely,Holly Humberstone,-0.6543606553538419
6vxVWANYDzpoWJcF4vVbr2,Jesus at the Centre,Eben,-0.6543118352491248
2JR8NubWbZW1vj671mtWaV,Un Pacto - Live In Buenos Aires / 2001,Bersuit Vergarabat,-0.6539510510367383
2JR8NubWbZW1vj671mtWaV,Un Pacto - Live In Buenos Aires / 2001,Bersuit Vergarabat,-0.6539510510367383
3D04V5vUxtcanSIwVEIMW8,Deus do Impossível,Ministério Apascentar de Nova Iguaçu,-0.6538013977218908
